,Unnamed: 0,address,name,rating,nr_users_rating,lat,lng,Kreis_id
0,0,"Badenerstrasse 376, 8004 Zürich, Switzerland",Migros Supermarkt,4.1,463,47.3791051,8.5087542,4
1,1,"Birmensdorferstrasse 140, 8003 Zürich, Switzerland",Migros Supermarkt,4.2,636,47.3700658,8.5201069,3
2,2,"Birmensdorferstrasse 320, 8055 Zürich, Switzerland",Migros Supermarkt,4.3,520,47.3699559,8.508720799999999,3
3,3,"Etzelstrasse 3, 8038 Zürich, Switzerland",Migros Supermarkt,4.3,616,47.3447064,8.5299616,2
4,4,"Falkenstrasse 19 - 21, 8008 Zürich, Switzerland",Migros,4.2,419,47.3654461,8.5479668,1
5,5,"Hardturmstrasse 11, 8005 Zürich, Switzerland",Migros Supermarkt,4.3,227,47.391336,8.518552999999999,5
6,6,"Hauptbahnhof, 8001 Zürich, Switzerland",Migros Superm.,4.2,1811,47.3775067,8.5394685,1
7,7,"Hohlstrasse 600, 8048 Zürich, Switzerland",Migros Supermarkt,4.2,537,47.39129680000001,8.487764499999999,9
8,8,"Jonas-Furrer-Strasse 21, 8046 Zürich, Switzerland",Migros Supermarkt,4.2,858,47.4200641,8.5084999,11
9,9,"Limmatstrasse 152, 8005 Zürich, Switzerland",Migros Supermarkt,4.4,1645,47.38546299999999,8.531409199999999,5
10,10,"Löwenstrasse 31-35 2. und 3. OG, 8001 Zürich, Switzerland",Migros,4.3,2174,47.37538319999999,8.5360797,1
11,11,"Neumarkt Altstetten, Altstetterstrasse 145, 8048 Zürich, Switzerland",Migros Supermarkt,4.3,1097,47.3882164,8.4873808,9
12,12,"Pfingstweidstrasse 101, 8005 Zürich, Switzerland",Migros-Supermarkt,4.2,233,47.3902872,8.5089945,5
13,13,"Schaffhauserstrasse 75, 8057 Zürich, Switzerland",Migros,4.0,301,47.3925463,8.5384833,6
14,14,"Scheffelstrasse 3, 8037 Zürich, Switzerland",Migros Supermarkt,4.1,155,47.39368349999999,8.529286700000002,10
15,15,"Sihlpassage, 8004 Zürich, Switzerland",Migros Supermarkt,4.3,301,47.3784015,8.535615,4
16,16,"Stockerstrasse 47, 8002 Zürich, Switzerland",Migros Supermarkt,4.2,127,47.3683281,8.5341943,2
17,17,"Tessinerpl. 10, 8002 Zürich, Switzerland",Migros Supermarkt,4.2,552,47.36413049999999,8.5310291,2
18,18,"Wengistrasse 7, 8004 Zürich, Switzerland",Migros Supermarkt,4.2,478,47.374987,8.523069900000001,4
19,19,"Winterthurerstrasse 2/4, 8006 Zürich, Switzerland",Migros Supermarkt,4.2,503,47.3860308,8.5485592,6
20,20,"Einkaufszentrum Neumarkt, Hofwiesenstrasse 350, 8050 Zürich, Switzerland",Migros Supermarkt,4.3,585,47.4106139,8.5428078,11
21,21,"Toblerstrasse 73, 8044 Zürich, Switzerland",Migros Supermarkt,3.9,122,47.3792851,8.5594331,7
22,22,"Seefeldstrasse 111/113, 8008 Zürich, Switzerland",Migros Supermarkt,4.2,159,47.3583739,8.5541813,8
23,23,"Kreuzpl. 20, 8008 Zürich, Switzerland",Migros Supermarkt,4.3,334,47.3645091,8.5537771,8
24,24,"Regensdorferstrasse 20, 8049 Zürich, Switzerland",Migros Supermarkt,4.3,333,47.40375450000001,8.4971895,10
25,25,"Albisriederstrasse 365, 8047 Zürich, Switzerland",Migros Supermarkt,4.2,192,47.3752612,8.485700399999999,9
26,26,"Winterthurerstrasse 524, 8051 Zürich, Switzerland",Migros Supermarkt,4.2,535,47.4039382,8.5726668,12
27,27,"BRUNAUPARK, Giesshübelstrasse 65, 8045 Zürich, Switzerland",Migros Supermarkt,4.3,775,47.3583939,8.5176529,3
28,28,"Forchstrasse 260, 8008 Zürich, Switzerland",Migros Supermarkt,4.1,228,47.35757659999999,8.5716345,8
29,29,"Schaffhauserstrasse 470, 8052 Zürich, Switzerland",Migros Supermarkt,4.3,673,47.4195602,8.5482668,11
30,30,"Witikonerstrasse 293, 8053 Zürich, Switzerland",Migros Supermarkt,4.3,254,47.35909299999999,8.5856,7
31,31,"Leimbachstrasse 23, 8041 Zürich, Switzerland",Migros Supermarkt,4.1,234,47.33601729999999,8.5188484,2
32,32,"Shop Ville, 8001 Zürich, Switzerland",Migros-Supermarkt - Zürich - ShopVilleMärt,3.0,2,47.3779341,8.5401768,1
37,37,"Altstetterstrasse 133, 8048 Zürich, Switzerland",MIGROS Markthalle,3.8,5,47.3890135,8.486950499999999,9
38,38,"Löwenstrasse 35, 8001 Zürich, Switzerland",Billett-Service Migros,4.0,1,47.3752656,8.536159999999999,1
39,39,"8037 Zürich, Switzerland",VOI Migros Partner,4.3,16,47.3953139,8.5183428,10
46,46,"Zollstrasse 6, 8005 Zürich, Switzerland",Migros Supermarkt (mit Daily Produkten),4.5,75,47.37983939999999,8.536871699999999,5
