"SteuerJahr","QuarSort","QuarLang","SteuerTarifSort","SteuerTarifLang","SteuerEinkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
1999,11,"Rathaus",0,"Grundtarif",39.7,18.6,64.7
1999,11,"Rathaus",1,"Verheiratetentarif",80.4,48.4,127.7
1999,11,"Rathaus",2,"Einelternfamilientarif",43,24.4,87.1
1999,12,"Hochschulen",0,"Grundtarif",31,12.4,55.2
1999,12,"Hochschulen",1,"Verheiratetentarif",86.35,51.7,176.95
1999,12,"Hochschulen",2,"Einelternfamilientarif",,,
1999,13,"Lindenhof",0,"Grundtarif",43.7,20,74.7
1999,13,"Lindenhof",1,"Verheiratetentarif",106.7,72.3,162
1999,13,"Lindenhof",2,"Einelternfamilientarif",,,
1999,14,"City",0,"Grundtarif",31.1,13.75,60.9
1999,14,"City",1,"Verheiratetentarif",69.7,43.3,93.2
1999,14,"City",2,"Einelternfamilientarif",,,
1999,21,"Wollishofen",0,"Grundtarif",36.8,19.8,55.3
1999,21,"Wollishofen",1,"Verheiratetentarif",67.8,48.4,94.9
1999,21,"Wollishofen",2,"Einelternfamilientarif",38.3,21.6,57.7
1999,23,"Leimbach",0,"Grundtarif",33.25,19.1,50.5
1999,23,"Leimbach",1,"Verheiratetentarif",66.2,47.5,91.4
1999,23,"Leimbach",2,"Einelternfamilientarif",41.7,24.65,57.2
1999,24,"Enge",0,"Grundtarif",43.1,20.4,67.1
1999,24,"Enge",1,"Verheiratetentarif",80.25,52.95,130.15
1999,24,"Enge",2,"Einelternfamilientarif",39.7,20.1,72
1999,31,"Alt-Wiedikon",0,"Grundtarif",36.6,20.3,55
1999,31,"Alt-Wiedikon",1,"Verheiratetentarif",62,40,89.4
1999,31,"Alt-Wiedikon",2,"Einelternfamilientarif",35.4,22.8,49.3
1999,33,"Friesenberg",0,"Grundtarif",26.4,12.2,43.2
1999,33,"Friesenberg",1,"Verheiratetentarif",61.5,46.1,79.9
1999,33,"Friesenberg",2,"Einelternfamilientarif",35.15,19.55,46.75
1999,34,"Sihlfeld",0,"Grundtarif",32.2,17.4,49.1
1999,34,"Sihlfeld",1,"Verheiratetentarif",55.1,37.1,74.2
1999,34,"Sihlfeld",2,"Einelternfamilientarif",30.4,15.1,43.4
1999,41,"Werd",0,"Grundtarif",33.3,15.7,53
1999,41,"Werd",1,"Verheiratetentarif",54.6,34.05,76.6
1999,41,"Werd",2,"Einelternfamilientarif",30.3,7.5,52.9
1999,42,"Langstrasse",0,"Grundtarif",29.4,13.8,48.1
1999,42,"Langstrasse",1,"Verheiratetentarif",51.5,33.5,73.1
1999,42,"Langstrasse",2,"Einelternfamilientarif",30,15.65,45.9
1999,44,"Hard",0,"Grundtarif",27.2,15,41.8
1999,44,"Hard",1,"Verheiratetentarif",51.45,35.8,69
1999,44,"Hard",2,"Einelternfamilientarif",30.1,13.95,42.6
1999,51,"Gewerbeschule",0,"Grundtarif",32.2,16.1,48.7
1999,51,"Gewerbeschule",1,"Verheiratetentarif",54,37.7,72.9
1999,51,"Gewerbeschule",2,"Einelternfamilientarif",30.35,16.8,46
1999,52,"Escher Wyss",0,"Grundtarif",35.5,18.2,56.8
1999,52,"Escher Wyss",1,"Verheiratetentarif",55.45,34.9,77.9
1999,52,"Escher Wyss",2,"Einelternfamilientarif",37.4,18.5,70.2
1999,61,"Unterstrass",0,"Grundtarif",36.7,19.45,56.7
1999,61,"Unterstrass",1,"Verheiratetentarif",63.8,45.6,89.7
1999,61,"Unterstrass",2,"Einelternfamilientarif",33.85,19.6,49.6
1999,63,"Oberstrass",0,"Grundtarif",41.5,19.7,66.3
1999,63,"Oberstrass",1,"Verheiratetentarif",91,58.9,148.75
1999,63,"Oberstrass",2,"Einelternfamilientarif",48.15,30,87
1999,71,"Fluntern",0,"Grundtarif",46.15,17.05,77.15
1999,71,"Fluntern",1,"Verheiratetentarif",113.2,70.35,199.9
1999,71,"Fluntern",2,"Einelternfamilientarif",49.8,30.5,87.4
1999,72,"Hottingen",0,"Grundtarif",41.05,18.2,66.1
1999,72,"Hottingen",1,"Verheiratetentarif",93.35,58.3,153.3
1999,72,"Hottingen",2,"Einelternfamilientarif",46.1,20.9,74.9
1999,73,"Hirslanden",0,"Grundtarif",38.86,18.1,60.9
1999,73,"Hirslanden",1,"Verheiratetentarif",79.5,50.15,135.85
1999,73,"Hirslanden",2,"Einelternfamilientarif",44.6,27.3,67
1999,74,"Witikon",0,"Grundtarif",42.6,20,64.6
1999,74,"Witikon",1,"Verheiratetentarif",85.15,57.3,128.85
1999,74,"Witikon",2,"Einelternfamilientarif",43.7,26.5,70.7
1999,81,"Seefeld",0,"Grundtarif",42.1,21.15,65.1
1999,81,"Seefeld",1,"Verheiratetentarif",75.6,46.9,120
1999,81,"Seefeld",2,"Einelternfamilientarif",35.05,19.4,54.3
1999,82,"Mühlebach",0,"Grundtarif",40.1,20.1,61.4
1999,82,"Mühlebach",1,"Verheiratetentarif",77.5,50.5,115.7
1999,82,"Mühlebach",2,"Einelternfamilientarif",47.1,25.3,63.5
1999,83,"Weinegg",0,"Grundtarif",39.95,17.6,60.85
1999,83,"Weinegg",1,"Verheiratetentarif",78.7,55.4,126.9
1999,83,"Weinegg",2,"Einelternfamilientarif",41.1,27.1,61.5
1999,91,"Albisrieden",0,"Grundtarif",34.8,20,50.8
1999,91,"Albisrieden",1,"Verheiratetentarif",61,45.6,83.9
1999,91,"Albisrieden",2,"Einelternfamilientarif",35.6,20.8,49.5
1999,92,"Altstetten",0,"Grundtarif",33.5,18.3,49.4
1999,92,"Altstetten",1,"Verheiratetentarif",58.2,43.1,78.3
1999,92,"Altstetten",2,"Einelternfamilientarif",32.4,16.4,45.9
1999,101,"Höngg",0,"Grundtarif",42.1,21.6,61.8
1999,101,"Höngg",1,"Verheiratetentarif",74.8,54.1,106.4
1999,101,"Höngg",2,"Einelternfamilientarif",39.4,23.4,57
1999,102,"Wipkingen",0,"Grundtarif",34.29,18.2,52.3
1999,102,"Wipkingen",1,"Verheiratetentarif",59.4,41.9,81.8
1999,102,"Wipkingen",2,"Einelternfamilientarif",35.3,18.3,49.3
1999,111,"Affoltern",0,"Grundtarif",32.8,17.5,48.6
1999,111,"Affoltern",1,"Verheiratetentarif",60.6,44.4,81.2
1999,111,"Affoltern",2,"Einelternfamilientarif",33.55,19.2,47.4
1999,115,"Oerlikon",0,"Grundtarif",37,20,53.9
1999,115,"Oerlikon",1,"Verheiratetentarif",63.85,42.9,89.65
1999,115,"Oerlikon",2,"Einelternfamilientarif",37.1,23.6,54.7
1999,119,"Seebach",0,"Grundtarif",32,17.7,48.25
1999,119,"Seebach",1,"Verheiratetentarif",56.7,40,77.7
1999,119,"Seebach",2,"Einelternfamilientarif",32,16.3,46.1
1999,121,"Saatlen",0,"Grundtarif",27.3,15,41.5
1999,121,"Saatlen",1,"Verheiratetentarif",53.6,39.4,69.6
1999,121,"Saatlen",2,"Einelternfamilientarif",28.3,14.15,42.25
1999,122,"Schwamendingen-Mitte",0,"Grundtarif",30,17.5,45
1999,122,"Schwamendingen-Mitte",1,"Verheiratetentarif",56.8,39.9,75.6
1999,122,"Schwamendingen-Mitte",2,"Einelternfamilientarif",29.8,12.8,47.8
1999,123,"Hirzenbach",0,"Grundtarif",26.6,14.9,42
1999,123,"Hirzenbach",1,"Verheiratetentarif",55,40.5,70.9
1999,123,"Hirzenbach",2,"Einelternfamilientarif",32.1,17.3,40.2
2000,11,"Rathaus",0,"Grundtarif",42.2,19.15,69.3
2000,11,"Rathaus",1,"Verheiratetentarif",85.5,51.8,131.6
2000,11,"Rathaus",2,"Einelternfamilientarif",51.55,26.6,97.65
2000,12,"Hochschulen",0,"Grundtarif",32.2,13.5,59.4
2000,12,"Hochschulen",1,"Verheiratetentarif",96.65,53.35,188
2000,12,"Hochschulen",2,"Einelternfamilientarif",,,
2000,13,"Lindenhof",0,"Grundtarif",44.1,21.4,75.6
2000,13,"Lindenhof",1,"Verheiratetentarif",114.95,72.6,200.7
2000,13,"Lindenhof",2,"Einelternfamilientarif",,,
2000,14,"City",0,"Grundtarif",37,13.55,67.9
2000,14,"City",1,"Verheiratetentarif",75.4,49.7,101.6
2000,14,"City",2,"Einelternfamilientarif",,,
2000,21,"Wollishofen",0,"Grundtarif",37.7,20,58
