,KreisLang,QuarLang,AlterV20Kurz,AnzBestWir,id_Kreis
0,Kreis 1,City,0-19,12,1
1,Kreis 1,City,20-39,12,1
2,Kreis 1,City,40-59,12,1
3,Kreis 1,City,60-79,12,1
4,Kreis 1,City,80 u. älter,11,1
5,Kreis 1,Hochschulen,0-19,12,1
6,Kreis 1,Hochschulen,20-39,12,1
7,Kreis 1,Hochschulen,40-59,12,1
8,Kreis 1,Hochschulen,60-79,12,1
9,Kreis 1,Hochschulen,80 u. älter,12,1
10,Kreis 1,Lindenhof,0-19,12,1
11,Kreis 1,Lindenhof,20-39,12,1
12,Kreis 1,Lindenhof,40-59,12,1
13,Kreis 1,Lindenhof,60-79,12,1
14,Kreis 1,Lindenhof,80 u. älter,12,1
15,Kreis 1,Rathaus,0-19,12,1
16,Kreis 1,Rathaus,20-39,12,1
17,Kreis 1,Rathaus,40-59,12,1
18,Kreis 1,Rathaus,60-79,12,1
19,Kreis 1,Rathaus,80 u. älter,12,1
20,Kreis 10,Höngg,0-19,12,10
21,Kreis 10,Höngg,20-39,12,10
22,Kreis 10,Höngg,40-59,12,10
23,Kreis 10,Höngg,60-79,12,10
24,Kreis 10,Höngg,80 u. älter,12,10
25,Kreis 10,Wipkingen,0-19,12,10
26,Kreis 10,Wipkingen,20-39,12,10
27,Kreis 10,Wipkingen,40-59,12,10
28,Kreis 10,Wipkingen,60-79,12,10
29,Kreis 10,Wipkingen,80 u. älter,12,10
30,Kreis 11,Affoltern,0-19,12,11
31,Kreis 11,Affoltern,20-39,12,11
32,Kreis 11,Affoltern,40-59,12,11
33,Kreis 11,Affoltern,60-79,12,11
34,Kreis 11,Affoltern,80 u. älter,12,11
35,Kreis 11,Oerlikon,0-19,12,11
36,Kreis 11,Oerlikon,20-39,12,11
37,Kreis 11,Oerlikon,40-59,12,11
38,Kreis 11,Oerlikon,60-79,12,11
39,Kreis 11,Oerlikon,80 u. älter,12,11
40,Kreis 11,Seebach,0-19,12,11
41,Kreis 11,Seebach,20-39,12,11
42,Kreis 11,Seebach,40-59,12,11
43,Kreis 11,Seebach,60-79,12,11
44,Kreis 11,Seebach,80 u. älter,12,11
45,Kreis 12,Hirzenbach,0-19,12,12
46,Kreis 12,Hirzenbach,20-39,12,12
47,Kreis 12,Hirzenbach,40-59,12,12
48,Kreis 12,Hirzenbach,60-79,12,12
49,Kreis 12,Hirzenbach,80 u. älter,12,12
50,Kreis 12,Saatlen,0-19,12,12
51,Kreis 12,Saatlen,20-39,12,12
52,Kreis 12,Saatlen,40-59,12,12
53,Kreis 12,Saatlen,60-79,12,12
54,Kreis 12,Saatlen,80 u. älter,12,12
55,Kreis 12,Schwamendingen-Mitte,0-19,12,12
56,Kreis 12,Schwamendingen-Mitte,20-39,12,12
57,Kreis 12,Schwamendingen-Mitte,40-59,12,12
58,Kreis 12,Schwamendingen-Mitte,60-79,12,12
59,Kreis 12,Schwamendingen-Mitte,80 u. älter,12,12
60,Kreis 2,Enge,0-19,12,2
61,Kreis 2,Enge,20-39,12,2
62,Kreis 2,Enge,40-59,12,2
63,Kreis 2,Enge,60-79,12,2
64,Kreis 2,Enge,80 u. älter,12,2
65,Kreis 2,Leimbach,0-19,12,2
66,Kreis 2,Leimbach,20-39,12,2
67,Kreis 2,Leimbach,40-59,12,2
68,Kreis 2,Leimbach,60-79,12,2
69,Kreis 2,Leimbach,80 u. älter,12,2
70,Kreis 2,Wollishofen,0-19,12,2
71,Kreis 2,Wollishofen,20-39,12,2
72,Kreis 2,Wollishofen,40-59,12,2
73,Kreis 2,Wollishofen,60-79,12,2
74,Kreis 2,Wollishofen,80 u. älter,12,2
75,Kreis 3,Alt-Wiedikon,0-19,12,3
76,Kreis 3,Alt-Wiedikon,20-39,12,3
77,Kreis 3,Alt-Wiedikon,40-59,12,3
78,Kreis 3,Alt-Wiedikon,60-79,12,3
79,Kreis 3,Alt-Wiedikon,80 u. älter,12,3
80,Kreis 3,Friesenberg,0-19,12,3
81,Kreis 3,Friesenberg,20-39,12,3
82,Kreis 3,Friesenberg,40-59,12,3
83,Kreis 3,Friesenberg,60-79,12,3
84,Kreis 3,Friesenberg,80 u. älter,12,3
85,Kreis 3,Sihlfeld,0-19,12,3
86,Kreis 3,Sihlfeld,20-39,12,3
87,Kreis 3,Sihlfeld,40-59,12,3
88,Kreis 3,Sihlfeld,60-79,12,3
89,Kreis 3,Sihlfeld,80 u. älter,12,3
90,Kreis 4,Hard,0-19,12,4
91,Kreis 4,Hard,20-39,12,4
92,Kreis 4,Hard,40-59,12,4
