"StichtagDatJahr","AnzMittelBest"
1934,313680
1935,316050
1936,316630
1937,317310
1938,321800
1939,330620
1940,332430
1941,334290
1942,337370
1943,341660
1944,347750
1945,353800
1946,360910
1947,371330
1948,380250
1949,384070
1950,386860
1951,392690
1952,399580
1953,405770
1954,410900
1955,415730
1956,419730
1957,425450
1958,429840
1959,434410
1960,437780
1961,441590
1962,443500
1963,443170
1964,441380
1965,438520
1966,435420
1967,434340
1968,432600
1969,431200
1970,426930
1971,420880
1972,416120
1973,410110
1974,404370
1975,395390
1976,386940
1977,382640
1978,379760
1979,377300
1980,374210
1981,372040
1982,369400
1983,366820
1984,364070
1985,362480
1986,361470
1987,361450
1988,360810
1989,360030
1990,359050
1991,360730
1992,362450
1993,363278
1994,363062
1995,362445
1996,361789
1997,359970
1998,359728
1999,360974
2000,361301
2001,362664
2002,363944
2003,364884
2004,365209
2005,366418
2006,368917
2007,373762
2008,379500
2009,382453
2010,384246
2011,388057
2012,391729
2013,396342
2014,401267
2015,407629
2016,412820
2017,419549
2018,425593
2019,431322
2020,433963
2021,434516
