,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code
7,OPERATIONAL,"Baslerstrasse 50, 8048 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Discount,"[{'height': 2667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112665430431628815107"">Paolo Missoni</a>'], 'photo_reference': 'Aap_uECmBq1WsHFYWLkibj9CUJpKidLFqntXnJm6xLELwKowJm1rtPs0VrtECvMMYpBj4jrEKcA_vb99R2I1joNnzOxzllr9Z_HGgoIxsJCImBzeolPzipN1aj3_SguvPKUceMdB7E6ZPvdFOXV1c1xNO0OlrPfEo-_JRnMIgQTR6dj3n-uC', 'width': 4741}]",ChIJ7cqQxDQKkEcRmROfYcw7PUU,4.0,ChIJ7cqQxDQKkEcRmROfYcw7PUU,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",33,47.38592480000001,8.499636299999999,47.38755097989272,8.50072755,47.38485132010727,8.496810549999996,True,9FPX+9V Zürich,8FVC9FPX+9V
14,OPERATIONAL,"Birmensdorferstrasse 320, 8055 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Discount,"[{'height': 2368, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111054972820992791147"">Rolf Hauser</a>'], 'photo_reference': 'Aap_uED6EWvEa_TDUkXm5XtrA5tKp0qLA-c3DLvKXBnYYKPdpmxNSWPDPhK8vQGm8KZHVJrWmzAnuPweYPRscA6k4Ry9TUUnjvzGuLvZ74i59iRYcYxqBs4ZPO_rjiorvdEah_gYZUgGtBrvriE0RURYs2N85qVwmANLZtd6U29r-4HPuAmQ', 'width': 4208}]",ChIJfRXhcycKkEcRLB85VF63gpI,4.1,ChIJfRXhcycKkEcRLB85VF63gpI,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",104,47.3700753,8.5087137,47.37129657989272,8.510096479892722,47.36859692010728,8.507396820107278,True,9GC5+2F Zürich,8FVC9GC5+2F
16,OPERATIONAL,"Einkaufszentrum, Regensdorferstrasse 16, 8049 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Discount,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115144725611450911355"">A Google User</a>'], 'photo_reference': 'Aap_uEDeBPMw4feZ8JQf_H8BSfl0sfmDh5vsWsORwGdXt76tTJwxB9TujwLjYW4VenZS0kKMySIo4JTBsoMqsNVBfN3qEu-atukJWLJukCcifAA9uwdD3_GNbATU9yHk-ZJGwt_tsOR-8ycBWS4Z4eRCZRVpcJxxkMwAzX88GFSYZo7-73cP', 'width': 4608}]",ChIJJY0cF6wLkEcRwRRNnFWifcY,4.4,ChIJJY0cF6wLkEcRwRRNnFWifcY,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",39,47.4032859,8.4982778,47.40454882989272,8.499515829892722,47.40184917010728,8.496816170107278,True,CF3X+88 Zürich,8FVCCF3X+88
4,OPERATIONAL,"Fierzgasse 18, 8005 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Discount,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110710016142516851067"">Yew Tiong Teo</a>'], 'photo_reference': 'Aap_uECyD56GHIJSOPfegdRd46DU77-w8RSSJ2zk_mIdfzi2Ox6CI2t_Sjq0_N8eK7URjlY08MSKDUf79iZbzwIXjHfWstTS4P8ghvQDiUbB0HDU60x3JOJcDCcdPf3w2qhOeDYtiz7aFnppE6FarWPPwB17zTGlWUjqiNZC4G_jye1wCCHm', 'width': 3456}]",ChIJ1Vo7aBIKkEcR1QSoo79OLo4,4.2,ChIJ1Vo7aBIKkEcR1QSoo79OLo4,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",109,47.3841413,8.5317431,47.38554577989272,8.53329562989272,47.38284612010728,8.530595970107276,True,9GMJ+MM Zürich,8FVC9GMJ+MM
8,OPERATIONAL,"Hofwiesenstrasse 135, 8057 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Express,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109456292964978827995"">Patrick Hediger</a>'], 'photo_reference': 'Aap_uEALTV91OnsDr4LMv0GIB9oE_zW7GdJDkYkkcp9-PMG17hQwuRSt3EDhdpopKVWHjDSyK9DtXsp5UcTZJaKa1AMaOPmTIYdGwxiHWNRmBplU7_OJt9RhWiVWWZeJIgX2bBOwfo_zmdOkixir37CU08Ok4rrrLNCFJPFfEpxJXOWKwFYK', 'width': 4032}]",ChIJ3cTFzWUKkEcRG6wbHPiptdE,3.9,ChIJ3cTFzWUKkEcRG6wbHPiptdE,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",194,47.3990363,8.5325958,47.40032667989271,8.534179979892722,47.39762702010727,8.531480320107278,True,9GXM+J2 Zürich,8FVC9GXM+J2
19,OPERATIONAL,"Hofwiesenstrasse 350, 8050 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Discount,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109456292964978827995"">Patrick Hediger</a>'], 'photo_reference': 'Aap_uEDcziYQJW4M9zBx-Ms3LSQuQVBQpm9kSdZbzH15j1R5u8BVuEkSDbm8sArvKU_OZ39qwHhV_YtLhE_1e6_WAMvdZYtZdXc0zlm94Eh8u0YcPeOy15e2XHHyFyWJCW2oyJQD9PRf7yT4ZjbE_XBft2vYuJjzbVMEcu8lcGy9T70990RF', 'width': 4032}]",ChIJB0BcC4YKkEcRStccruWRrAw,4.1,ChIJB0BcC4YKkEcRStccruWRrAw,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",50,47.4103609,8.5434623,47.41172577989273,8.544888329892721,47.40902612010728,8.542188670107278,True,CG6V+49 Zürich,8FVCCG6V+49
15,OPERATIONAL,"Hohlstrasse 610, 8048 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Discount,"[{'height': 3968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117566477119615193391"">Thomas Gohl</a>'], 'photo_reference': 'Aap_uEBJIdaGCpm6_N8-LXqbDzP0Qf_FGD6X5KPnPmyw7zIXaCF4jlv_khmwyvK0BwAzjcZW0H2HGeYUqUoyEApt9JoFAr4AiemqTZYLAlqH72P0K3igEjoMYjim7D37QG18Ye2tMwOdfaC_of-ewew9Q3uzuu2CHhzDEZv-tSf36udXefG1', 'width': 2976}]",ChIJVyyvXLgLkEcR3JaOz-bqfzo,4.3,ChIJVyyvXLgLkEcR3JaOz-bqfzo,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",116,47.3919089,8.484853,47.39324982989272,8.486198279892722,47.39055017010728,8.483498620107278,True,9FRM+RW Zürich,8FVC9FRM+RW
0,OPERATIONAL,"Josefstrasse 92, 8005 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Express,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113546547774283760746"">A Google User</a>'], 'photo_reference': 'Aap_uEBkdiaBTP-Ou0mKNFTxQB1kMZJGayltMiei4wn0TZOvcPJ8O3TntO_WnhldFl3x_2zyRAETbhyzMGcBmDoFUA7S9vDYJSwAuSxj3r9mowdeWk-BMvmhK81PAYKKoJZT80cUI6MG3vShP0GvG_YzovWpImyG6Y03rSAnTa7oHc9AAmC7', 'width': 3264}]",ChIJvWBmNxIKkEcRKwyHPV5N2yA,4.1,ChIJvWBmNxIKkEcRKwyHPV5N2yA,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",274,47.383201,8.5309636,47.38467592989273,8.532211329892721,47.38197627010728,8.529511670107278,True,9GMJ+79 Zürich,8FVC9GMJ+79
13,OPERATIONAL,"Landenbergstrasse 22, 8037 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Express,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114423021081735202742"">Kashif Akhtar</a>'], 'photo_reference': 'Aap_uEDRQWu-Ufil8OxFns6B3EqX4b2_V90R9G1OkqGSHM3W9NAli5RIPZqJvcsLz1s7IcIcTnsuePHNFPz3dM_FrUbRWbFRB03eDDvddf6Ot2g0_eQiiVtNuAYjNP0b2esGV3saX4eNAagyBTR8BtcBCbD5vU1IcYVtJMkTrPdSZJjMtOFy', 'width': 2322}]",ChIJD6QrXWkKkEcRPzfqPH15YmQ,4.2,ChIJD6QrXWkKkEcRPzfqPH15YmQ,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",85,47.3927776,8.528612899999999,47.39411242989271,8.529887229892719,47.39141277010727,8.527187570107275,True,9GVH+4C Zürich,8FVC9GVH+4C
1,OPERATIONAL,"Limmatstrasse 152, 8005 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Denner Discount,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118035695877550048458"">Philippe Kehl</a>'], 'photo_reference': 'Aap_uEC7K4tL72cQpa7weFaMNe5J3ivRixkcAPVbfgcXGj7V8Dehp-lJy-8aenPfZxm575JWrVteJveYWpSn3lAONZtdW1flvQs6vwSyzl3V5a2f2YzWY3Ruit5tIavec2fZi8wR7FOFD6q7Tgl-XUnA9htIZHko_ZGd5-ehZbkjLYrD-0kL', 'width': 4032}]",ChIJt56DeYwbm0cR8fCQegEHuVQ,4.4,ChIJt56DeYwbm0cR8fCQegEHuVQ,"['supermarket', 'grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']",146,47.3857949,8.5319332,47.38726707989272,8.533437879892722,47.38456742010727,8.530738220107278,True,9GPJ+8Q Zürich,8FVC9GPJ+8Q
