,address,name,rating,nr_users_rating,lat,lng
0,"Badenerstrasse 376, 8004 Zürich, Switzerland",Migros Supermarkt,4.1,463,47.3791051,8.5087542
1,"Birmensdorferstrasse 140, 8003 Zürich, Switzerland",Migros Supermarkt,4.2,636,47.3700658,8.5201069
2,"Birmensdorferstrasse 320, 8055 Zürich, Switzerland",Migros Supermarkt,4.3,520,47.3699559,8.508720799999999
3,"Etzelstrasse 3, 8038 Zürich, Switzerland",Migros Supermarkt,4.3,616,47.3447064,8.5299616
4,"Falkenstrasse 19 - 21, 8008 Zürich, Switzerland",Migros,4.2,419,47.3654461,8.5479668
5,"Hardturmstrasse 11, 8005 Zürich, Switzerland",Migros Supermarkt,4.3,227,47.391336,8.518552999999999
6,"Hauptbahnhof, 8001 Zürich, Switzerland",Migros Superm.,4.2,1811,47.3775067,8.5394685
7,"Hohlstrasse 600, 8048 Zürich, Switzerland",Migros Supermarkt,4.2,537,47.39129680000001,8.487764499999999
8,"Jonas-Furrer-Strasse 21, 8046 Zürich, Switzerland",Migros Supermarkt,4.2,858,47.4200641,8.5084999
9,"Limmatstrasse 152, 8005 Zürich, Switzerland",Migros Supermarkt,4.4,1645,47.38546299999999,8.531409199999999
10,"Löwenstrasse 31-35 2. und 3. OG, 8001 Zürich, Switzerland",Migros,4.3,2174,47.37538319999999,8.5360797
11,"Neumarkt Altstetten, Altstetterstrasse 145, 8048 Zürich, Switzerland",Migros Supermarkt,4.3,1097,47.3882164,8.4873808
12,"Pfingstweidstrasse 101, 8005 Zürich, Switzerland",Migros-Supermarkt,4.2,233,47.3902872,8.5089945
13,"Schaffhauserstrasse 75, 8057 Zürich, Switzerland",Migros,4.0,301,47.3925463,8.5384833
14,"Scheffelstrasse 3, 8037 Zürich, Switzerland",Migros Supermarkt,4.1,155,47.39368349999999,8.529286700000002
15,"Sihlpassage, 8004 Zürich, Switzerland",Migros Supermarkt,4.3,301,47.3784015,8.535615
