,address,name,rating,users_rating_num,lat,lng,name_s
0,"Am Suteracher 14, 8048 Zürich, Switzerland",Coop Supermarkt Zürich Suteracher,4.1,137,47.389955,8.4720952,coop
1,"Badenerstrasse 244, 8004 Zürich, Switzerland",Coop Supermarkt Zürich Lochergut,4.2,662,47.3757341,8.5173337,coop
2,"Badenerstrasse 333, 8003 Zürich, Switzerland",Coop Supermarkt Zürich Albisriederplatz,4.1,749,47.37771129999999,8.5111067,coop
3,"Bahnhofbrücke 1, 8001 Zürich, Switzerland",Coop Supermarkt Zürich Bahnhofbrücke,4.3,3000,47.3764584,8.5423575,coop
4,"Birmensdorferstrasse 200, 8003 Zürich, Switzerland",Coop Supermarkt Zürich Wiedikon,4.3,646,47.3707958,8.5160521,coop
5,"Frankentalerstrasse 20, 8049 Zürich, Switzerland",Coop Supermarket,4.3,261,47.4058119,8.4813824,coop
6,"Giessereistrasse 18, 8005 Zürich, Switzerland",Coop Supermarkt Zürich Puls 5,4.1,225,47.3907648,8.518288499999999,coop
7,"Halle, Löwenstrasse, 8021 Zürich, Switzerland",Coop Supermarkt Zürich ShopVille HB,4.0,809,47.37780739999999,8.5384649,coop
8,"Hofwiesenstrasse 370, 8050 Zürich, Switzerland",Coop,4.2,303,47.4111989,8.544497,coop
9,"Hohlstrasse 35, 8004 Zürich, Switzerland",Coop Supermarkt Zürich Hohlstrasse,4.0,327,47.3771488,8.5265379,coop
10,"Lindenpl. 6, 8048 Zürich, Switzerland",Coop Supermarkt Zürich Lindenplatz,4.0,283,47.3876386,8.4853846,coop
11,"Maagpl. 1, 8005 Zürich, Switzerland",Coop Supermarkt Zürich Maagplatz,4.1,60,47.3859754,8.516154,coop
12,"Regensdorferstrasse 9, 8049 Zürich, Switzerland",Coop Supermarkt Zürich Hönggermarkt,4.2,284,47.4027056,8.4984139,coop
13,"Röntgenstrasse 48, 8005 Zürich, Switzerland",Coop Supermarkt Zürich Josefstrasse,4.0,197,47.3847993,8.5272322,coop
14,"Röschibachstrasse 22, 8037 Zürich, Switzerland",Coop Supermarkt Zürich Wipkingerbrücke,3.9,295,47.3927709,8.524651,coop
15,"Rütihofstrasse 15, 8049 Zürich, Switzerland",Coop Supermarkt Zürich Rütihof,3.8,112,47.413717,8.4795634,coop
16,"Universitätstrasse 101, 8006 Zürich, Switzerland",Coop Supermarkt Zürich Rigiplatz,3.9,99,47.3838811,8.5481176,coop
17,"Universitätstrasse 73, 8006 Zürich, Switzerland",Coop Supermarkt Zürich Universitätstrasse,3.9,238,47.3825177,8.5480238,coop
18,"Vulkanpl., 8048 Zürich, Switzerland",Coop Supermarkt Zürich Westlink,4.1,417,47.3921058,8.4901239,coop
19,"Wolfgang-Pauli-Strasse 14, 8049 Zürich, Switzerland",Coop Supermarkt Zürich ETH Hönggerberg,3.9,143,47.4083915,8.5079119,coop
20,"In der Ey 85, 8047 Zürich, Switzerland",Coop Supermarkt Zürich Triemli,4.3,223,47.3705382,8.4921778,coop
