,business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code
1,OPERATIONAL,"Fraumünsterstrasse 16, 8001 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,LIDL Switzerland,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115591633304384983489"">Mateusz Kowalczyk</a>'], 'photo_reference': 'Aap_uEC-WDr8WObSaItNSuDyJsho00QEAh-BSHamIJsklRfCpDho-IRFtYPEllB8FYMkFJ8fSNPVDkOAZ1qQdCVZ8XwNHBBNxR7VJCkQ9HKJXEZiDQvwAtfJEIVkbAb5YMsLiw2rvr3YWftXKDIdvD75QdfmBV7fD_LClxdRYfAh1yOux2vp', 'width': 4032}]",ChIJ0REDgqqgmkcRWrTSmPTdg1Q,4.4,ChIJ0REDgqqgmkcRWrTSmPTdg1Q,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']",1004,47.3690042,8.5415353,47.37028842989272,8.542742129892721,47.36758877010728,8.540042470107277,True,9G9R+GF Zürich,8FVC9G9R+GF
0,OPERATIONAL,"Förrlibuckstrasse 62, 8005 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111487661406161188494"">A Google User</a>'], 'photo_reference': 'Aap_uECLimnLWJcjIa5DtimrKHBNQxNWL4amc_tp_jUsm2vHmKciwj76wtC5YcK85FGvYqdZ_kwXtHY6WdfwCXeIf_KRGMPxUOSjzYCs8n7JUr2Y0_TdZK9Bk9l2rkXL6vbc3bUU1puoxhJT_WB-cBV9OibmxTiwMa49JffwXIdIcN_XJxwD', 'width': 4032}]",ChIJyzfNMz8LkEcRQoUMrhNYjOA,4.0,ChIJyzfNMz8LkEcRQoUMrhNYjOA,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']",117,47.3921786,8.5151209,47.39338847989272,8.516332129892723,47.39068882010728,8.513632470107279,True,9GR8+V2 Zürich,8FVC9GR8+V2
2,OPERATIONAL,"Grubenstrasse 28, 8045 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 3480, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116576717953796892713"">Lukas Stierlin</a>'], 'photo_reference': 'Aap_uEDZy2mHxwwIt21nVe80N67tcDx6h-j2gT4vhDOR3YiroSdNszJHRm-KgxSxNecVx9jXZtuA0Dw-gSD0rqdcOvC8JUIPBaVd0XRM6PMS-KT93ye1oZIrrzyhJ3vWI1qrF2o--48HdHKQ0LUmq8MpGuwob-Bopk033J4QgYIJwKbrQa6C', 'width': 4640}]",ChIJbRRqLvMJkEcR_mqMiGkBWaw,4.1,ChIJbRRqLvMJkEcR_mqMiGkBWaw,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']",741,47.3616862,8.514746299999999,47.36303312989272,8.516097029892721,47.36033347010728,8.513397370107278,True,9G67+PV Zürich,8FVC9G67+PV
4,OPERATIONAL,"Hofwiesenstrasse 350, 8050 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104501901618311533321"">A Google User</a>'], 'photo_reference': 'Aap_uEAMl6RIG1sHtRooJsOQta1zsinlgv86f5CkzK3Txv08R6ZXYiuTGjf3F3K3r3MgPXZQSlbNhUm8Ig7fZ-nEE5GvQxk-3GwTklENUBAdmXTHbWncCKdMRfmJok3hFj7uRap7M6qKHk2tRjeleyLS9vcHC_Qb75Yn4XeFEMOca7vR9IC0', 'width': 1500}]",ChIJHa8zrMILkEcRN-g-c59BoPs,3.7,ChIJHa8zrMILkEcRN-g-c59BoPs,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']",21,47.4104947,8.5427327,47.41192422989272,8.543998279892723,47.40922457010728,8.541298620107279,True,CG6V+53 Zürich,8FVCCG6V+53
7,OPERATIONAL,"Neue Winterthurerstrasse 2, 8304 Wallisellen, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117733818946830205383"">Jaromír Salamon</a>'], 'photo_reference': 'Aap_uEByoRa9vkjZH4N4MP5wYSInMIL8eRoHjm9yql67O4-nhjiI1IoBlZL5p6ZeaPy6EGzSXEW-A53dwzOB2Zfuh8jXFP6KcyZU6ez7pffhwIzp45SwqnYpHasRxTrnAFUiI9JOMaZwxDro1PvqtFQwLI1SCRjWdXfSiPxx4HVUBiomAc1D', 'width': 3264}]",ChIJK6o9b7ChmkcRPkyS4i6sGk0,4.1,ChIJK6o9b7ChmkcRPkyS4i6sGk0,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']",667,47.41237719999999,8.613654499999999,47.41364382989272,8.61493142989272,47.41094417010727,8.612231770107277,True,CJ67+XF Wallisellen,8FVCCJ67+XF
3,OPERATIONAL,"Ohmstrasse 11, 8050 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108019266422830986165"">Marco</a>'], 'photo_reference': 'Aap_uECahtRzzM5-4gemq6TPXUo0Fj4xnv-JQmRa0CRf-ecuPQOsj1Yu0ATe050HLU0S-d2ARg1hq-uU_lu4Km1wfp4LNF2jXREaoahpaMSlPacYIMr0UbVY2L77T5Y_C8SgD2pSMkOz0ygpyMgBiIeznv5PsJvoODW9AC8-lINJQlHO-Nu_', 'width': 1080}]",ChIJU0W-noYKkEcRXJuSYfWbBR8,4.1,ChIJU0W-noYKkEcRXJuSYfWbBR8,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']",897,47.4104654,8.545810399999999,47.41168182989272,8.54724072989272,47.40898217010728,8.544541070107277,False,CG6W+57 Zürich,8FVCCG6W+57
11,OPERATIONAL,"Rapidpl. 5, 8953 Dietikon, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl Schweiz,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108351620116208851373"">Lidl</a>'], 'photo_reference': 'Aap_uEBfi7C7AF9HvJ_3IVtshmz58KwCgXmrbXm7CXpSxMvFuy-4L2mGbGnSnKn7Qu7fiIS--MLcTJF_GJZv9mCLY-KJI3fr_rXsKOZTfYmI8dxtbsF9YXmKKBHAmYFKbCTk26JzhsNLu42DPLqtqYIfa7OUWuYFpevub5oZq4dspuvaRl7p', 'width': 3264}]",ChIJjVeI37UNkEcRA_8EoOaFcpE,4.1,ChIJjVeI37UNkEcRA_8EoOaFcpE,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']",399,47.4103875,8.4042018,47.41185287989272,8.405608129892721,47.40915322010728,8.402908470107278,True,CC63+5M Dietikon,8FVCCC63+5M
9,OPERATIONAL,"Reitmenstrasse 5, 8952 Schlieren, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115928724990958328709"">Ralf Kosok</a>'], 'photo_reference': 'Aap_uECKjhhFxH83oP2MxdzYjpqacRw0EYjcUtf4Mx_Zvlo4SaAmzVIf9nv-1c-GuWBixDkrzJAu1-SVK-4SqOsS8ey_3INkhWdBAysFPfPvQLQRmKnf3hMCWAxS7rJGf0C3NjTQsrAr4dvnlTnQC0xSyKNdenwxpKhAxFPeLKW8xO-RNCiE', 'width': 3024}]",ChIJLWHT12sMkEcRmSuzLQv5y5k,4.1,ChIJLWHT12sMkEcRmSuzLQv5y5k,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']",629,47.3994192,8.4327827,47.40084197989273,8.434018979892722,47.39814232010728,8.431319320107278,True,9CXM+P2 Schlieren,8FVC9CXM+P2
10,OPERATIONAL,"Schaffhauserstrasse 165, 8302 Kloten, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102298610959039923844"">A Google User</a>'], 'photo_reference': 'Aap_uEDB-SRdIS5LCrP_fWDhMXxUjBzBL9Wj6u8fiJPZwVnUn-N3JF7zKm3vbQrlO7N-TTyaHaNvJGKPcqI6pM7oUdlnQqLXyqUKxnc89ddzki20JUyUDwdtVmWc9nsoXRqdnhavIFd04Y05qJ7tg6O7QhqZFntHMoqZSFekbG8SqZPKgxQ8', 'width': 3024}]",ChIJUcR7g--fmkcR-eAZgZ5IL-w,4.1,ChIJUcR7g--fmkcR-eAZgZ5IL-w,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']",825,47.4548046,8.5792144,47.45612667989271,8.58068627989272,47.45342702010727,8.577986620107277,True,FH3H+VM Kloten,8FVCFH3H+VM
6,OPERATIONAL,"Ueberlandstrasse 381, 8051 Zürich, Switzerland",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Lidl,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118105704767435905513"">Bruno Sorrilha</a>'], 'photo_reference': 'Aap_uEAPkdSSv4L3xgQ1TaZWIbLzK_YBWKMvItjzN7hg1wjJpngnCDKOG5HZDl8UwBFAf4GR0Rtk--YAwjsZrgqGOOyh4vQvEPXpxuJaZWscg8YzxT3ZcwRhq2whjRWZyXR4YDib4pBYaFooMylmBDAL-ZN6oAOowlhfmqnARD3dEucuIR5T', 'width': 3024}]",ChIJ_Ut8YlmgmkcRJF0zFEzklT8,4.1,ChIJ_Ut8YlmgmkcRJF0zFEzklT8,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'home_goods_store', 'store', 'food', 'point_of_interest', 'establishment']",577,47.4076838,8.5851245,47.40904842989273,8.586427079892722,47.40634877010728,8.583727420107278,True,CH5P+43 Zürich,8FVCCH5P+43
